"doctor","hospital","patient_count","medical_condition_count","total_billing_amount","average_billing_amount","average_patient_age","average_length_of_stay","first_admission_date","latest_admission_date"
Kelly Arias,Rangel-Gomez,1,1,40191.90,40191.87,18,27,2020-03-26,2020-03-26
Kelly Avila,"Miller Adams, Stokes and",1,1,45573.90,45573.92,66,8,2020-11-20,2020-11-20
Kelly Bailey,Hayes-Howard,1,1,2555.31,2555.31,85,10,2021-07-03,2021-07-03
Kelly Bailey,"Martinez Bartlett and Fisher,",1,1,14901.70,14901.74,46,13,2023-12-03,2023-12-03
Kelly Baldwin,Olson Group,1,1,32559.00,32559.01,73,27,2020-07-07,2020-07-07
Kelly Barnett,"Horton Coleman, Spencer and",1,1,7887.17,7887.17,23,3,2021-03-13,2021-03-13
Kelly Bell,Hansen Sons and,1,1,40062.40,40062.43,54,20,2022-03-22,2022-03-22
Kelly Bennett,Ltd Hale,2,1,41732.40,20866.22,23,25,2019-07-10,2019-07-10
Kelly Bennett,Roach-Reynolds,1,1,36689.90,36689.94,49,26,2020-10-25,2020-10-25
Kelly Blevins,Smith-Lewis,2,1,54552.10,27276.05,82,3,2022-05-10,2022-05-10
Kelly Brewer,Avila LLC,1,1,35634.10,35634.07,74,13,2019-09-24,2019-09-24
Kelly Brown,"and Freeman Farrell, Duncan",1,1,22344.60,22344.58,78,22,2020-07-28,2020-07-28
Kelly Brown,Harvey LLC,1,1,5669.85,5669.85,55,15,2023-05-03,2023-05-03
Kelly Brown,Hunter PLC,1,1,39901.60,39901.58,72,15,2019-10-02,2019-10-02
Kelly Brown,"Richards Berry, and Grimes",1,1,33029.60,33029.62,85,3,2022-01-25,2022-01-25
Kelly Carr,"Carson Chen, May and",1,1,17121.20,17121.17,67,14,2019-12-24,2019-12-24
Kelly Carter,"Jackson Harmon and Brewer,",1,1,47724.80,47724.83,32,11,2021-03-20,2021-03-20
Kelly Carter,Sons Garrett and,1,1,24329.50,24329.48,72,23,2022-11-29,2022-11-29
Kelly Chang,Inc Rodriguez,1,1,3244.19,3244.19,24,11,2021-04-02,2021-04-02
Kelly Chapman,Johnson LLC,1,1,7207.01,7207.01,78,28,2022-02-20,2022-02-20
Kelly Choi,LLC Schmidt,1,1,47707.40,47707.42,79,8,2021-05-17,2021-05-17
Kelly Church,Wang LLC,2,1,60103.00,30051.52,69,12,2019-11-16,2019-11-16
Kelly Clark,LLC Smith,1,1,24507.70,24507.65,64,30,2023-03-28,2023-03-28
Kelly Clay,"Willis, and Taylor Chavez",1,1,35227.50,35227.54,23,18,2020-09-03,2020-09-03
Kelly Cobb,"and Miller Hamilton Woodard,",1,1,6245.54,6245.54,67,1,2019-09-01,2019-09-01
Kelly Cole,"and Bailey Martin, Graham",1,1,48412.50,48412.54,21,12,2020-09-21,2020-09-21
Kelly Colon,Vaughn-Hill,2,1,50182.10,25091.04,56,19,2022-09-04,2022-09-04
Kelly Contreras,Jones PLC,1,1,32014.70,32014.74,50,27,2022-08-15,2022-08-15
Kelly Contreras,Nguyen-Miller,2,1,49766.20,24883.10,51,21,2020-11-24,2020-11-24
Kelly Cowan,"Gonzalez Ross Gonzalez, and",1,1,46717.20,46717.20,64,14,2020-08-13,2020-08-13
Kelly Crawford,Velasquez and Sons,1,1,3066.06,3066.06,27,16,2022-10-09,2022-10-09
Kelly Cruz,Wyatt-Palmer,2,1,87622.90,43811.46,17,4,2021-02-15,2021-02-15
Kelly Curtis,and Sons Colon,1,1,23470.50,23470.48,72,28,2022-12-11,2022-12-11
Kelly Daniels,"and Warner Hahn Gray,",1,1,48734.90,48734.90,39,22,2020-04-12,2020-04-12
Kelly Daniels,Group Medina,1,1,33041.00,33041.01,57,14,2021-07-14,2021-07-14
Kelly Davis,Group Sandoval,1,1,32338.70,32338.71,82,13,2021-04-24,2021-04-24
Kelly Davis,Jordan-Combs,1,1,15023.70,15023.73,48,22,2019-08-06,2019-08-06
Kelly Douglas,LLC Harvey,1,1,35173.60,35173.59,44,17,2021-03-13,2021-03-13
Kelly Downs,"Carter and Mullins, Neal",2,1,84965.80,42482.92,55,12,2019-07-04,2019-07-04
Kelly Duncan,Fitzpatrick-Johnson,1,1,36895.70,36895.69,25,28,2021-04-15,2021-04-15
Kelly Edwards,"and Olson, Nguyen Rodriguez",1,1,46696.60,46696.61,84,8,2021-11-12,2021-11-12
Kelly Esparza,"Patel, Lawson and Phillips",1,1,14235.20,14235.24,85,19,2023-09-10,2023-09-10
Kelly Espinoza,Perry Group,2,1,28229.60,14114.80,21,30,2020-07-21,2020-07-21
Kelly Evans,Rodriguez LLC,1,1,16886.90,16886.88,37,6,2023-04-04,2023-04-04
Kelly Evans,Torres Inc,1,1,28687.20,28687.25,44,8,2020-09-18,2020-09-18
Kelly Fernandez,Wilson-Cruz,1,1,43390.60,43390.59,77,29,2020-10-22,2020-10-22
Kelly Ford,Rasmussen PLC,1,1,2739.87,2739.87,28,9,2020-11-18,2020-11-18
Kelly Ford,Tran-Gordon,1,1,5603.27,5603.27,38,23,2023-07-21,2023-07-21
Kelly Fowler,Brown-Bentley,1,1,17865.70,17865.67,80,17,2022-10-11,2022-10-11
Kelly Fowler,Ltd Reed,1,1,33594.80,33594.82,44,25,2021-07-28,2021-07-28
Kelly Frank,Lindsey-Watson,1,1,3017.88,3017.88,22,25,2021-08-14,2021-08-14
Kelly Freeman,"Black Stein and Brown,",2,1,89657.10,44828.57,73,29,2020-06-29,2020-06-29
Kelly Freeman,Gardner-Shelton,1,1,23853.50,23853.54,22,9,2019-09-26,2019-09-26
Kelly Garcia,"and Alvarez Banks, Munoz",2,1,39848.30,19924.13,61,3,2022-08-28,2022-08-28
Kelly Garcia,Arnold-Johnson,1,1,41188.20,41188.21,46,24,2023-08-19,2023-08-19
Kelly Gardner,"Taylor and Boyd Carroll,",1,1,6184.24,6184.24,70,2,2023-06-28,2023-06-28
Kelly Garrison,Anderson-Morales,1,1,21541.40,21541.45,30,7,2021-07-08,2021-07-08
Kelly Garza,LLC Rodriguez,1,1,14868.10,14868.14,82,19,2019-12-25,2019-12-25
Kelly Gentry,Group Davis,1,1,25228.80,25228.83,54,22,2020-11-19,2020-11-19
Kelly George,Manning PLC,1,1,50279.00,50278.96,75,17,2020-02-12,2020-02-12
Kelly Gilbert,"Gutierrez King and Sullivan,",1,1,14213.60,14213.56,42,28,2023-08-17,2023-08-17
Kelly Gonzales,Turner Group,1,1,46590.50,46590.46,73,30,2024-04-15,2024-04-15
Kelly Gonzalez,Jones-Roberson,1,1,35041.70,35041.71,83,26,2021-07-25,2021-07-25
Kelly Green,Richards-Mckee,1,1,30623.40,30623.42,68,19,2021-03-18,2021-03-18
Kelly Greer,Barnes-Dillon,1,1,35707.70,35707.68,45,3,2022-12-14,2022-12-14
Kelly Grimes,Andrews-Woods,1,1,33694.10,33694.08,67,19,2019-10-20,2019-10-20
Kelly Hall,Johnson-Lewis,2,1,66645.70,33322.87,27,24,2022-04-27,2022-04-27
Kelly Hall,Salazar-Richard,1,1,27890.20,27890.25,30,24,2021-12-13,2021-12-13
Kelly Hanna,and Sons Lowery,1,1,31163.90,31163.93,65,6,2021-12-25,2021-12-25
Kelly Harmon,"Newman Lynn, Williamson and",2,1,86255.40,43127.69,57,26,2024-01-18,2024-01-18
Kelly Harris,"Jefferson Stewart and Watkins,",1,1,28832.00,28831.99,64,19,2019-10-23,2019-10-23
Kelly Harrison,and Keller Sons,1,1,10994.00,10993.96,44,29,2020-07-15,2020-07-15
Kelly Hawkins,Bauer-Hill,1,1,18729.40,18729.37,77,14,2023-03-16,2023-03-16
Kelly Hawkins,Rollins-Mcguire,1,1,15802.10,15802.10,84,29,2020-03-20,2020-03-20
Kelly Henderson,Ltd Dougherty,1,1,20411.80,20411.81,49,8,2023-08-18,2023-08-18
Kelly Henson,"and Edwards Sanchez, Becker",1,1,8725.22,8725.22,78,14,2021-06-15,2021-06-15
Kelly Hill,"and Nelson, Cantrell Herman",1,1,15883.00,15882.98,58,1,2019-07-01,2019-07-01
Kelly Hill,Carroll-Smith,1,1,12736.30,12736.28,30,18,2021-04-03,2021-04-03
Kelly Hill,Ltd Ochoa,1,1,24989.80,24989.77,64,5,2019-07-04,2019-07-04
Kelly Hill,"Mcfarland Cross Gomez, and",1,1,43701.80,43701.76,39,25,2020-04-25,2020-04-25
Kelly Hill,Ramos-Mcgee,1,1,14102.00,14102.00,23,13,2021-03-01,2021-03-01
Kelly Hines,Group Armstrong,1,1,33494.70,33494.70,81,10,2020-02-19,2020-02-19
Kelly Holmes,"Roberts Henderson, and Gregory",2,1,83715.60,41857.78,70,11,2020-02-23,2020-02-23
Kelly Hopkins,"Martin, and Cox Smith",1,1,48876.70,48876.71,49,27,2020-03-08,2020-03-08
Kelly Howard,"Jones, Blackwell Farmer and",1,1,30720.60,30720.64,23,11,2019-09-24,2019-09-24
Kelly Howell,Carroll-Norman,1,1,17459.60,17459.57,64,19,2020-09-15,2020-09-15
Kelly Hubbard,Irwin-Medina,1,1,20908.80,20908.80,37,5,2019-06-17,2019-06-17
Kelly Hudson,Ltd Griffith,1,1,44096.30,44096.34,36,12,2023-08-16,2023-08-16
Kelly Hunter,Howell Ltd,1,1,50416.90,50416.94,50,10,2023-06-10,2023-06-10
Kelly Hunter,Walker Ltd,1,1,24386.70,24386.71,70,12,2022-11-06,2022-11-06
Kelly Irwin,Inc Oconnor,1,1,13690.80,13690.81,75,1,2021-05-07,2021-05-07
Kelly Jackson,PLC Foster,1,1,45531.70,45531.68,48,10,2020-11-06,2020-11-06
Kelly Jackson,"Sexton Jones Reyes, and",1,1,30823.20,30823.15,73,21,2022-09-13,2022-09-13
Kelly Jackson,"Willis and Hunt Pope,",1,1,39250.40,39250.45,62,29,2019-10-06,2019-10-06
Kelly James,Bell-Smith,1,1,27627.70,27627.73,28,17,2021-05-26,2021-05-26
Kelly James,"Hardin Terry, Hunter and",1,1,4960.97,4960.97,81,16,2024-04-04,2024-04-04
Kelly Jenkins,Baker PLC,2,1,7172.46,3586.23,21,1,2023-12-20,2023-12-20
Kelly Jenkins,"Obrien Lewis Anderson, and",1,1,12631.50,12631.49,33,8,2022-09-22,2022-09-22
Kelly Johnson,Adkins Sons and,1,1,15259.00,15259.05,41,5,2021-07-23,2021-07-23
Kelly Johnson,"and Barry Smith, Sexton",1,1,16205.00,16204.98,77,15,2023-12-28,2023-12-28
Kelly Johnson,"Brown, Wood Nelson and",1,1,13299.40,13299.44,19,27,2020-08-10,2020-08-10
Kelly Johnson,Group Johnson,1,1,23518.30,23518.27,41,11,2021-10-23,2021-10-23
Kelly Johnson,"Jones, Gallegos and Guerrero",1,1,11908.50,11908.46,44,12,2021-02-21,2021-02-21
Kelly Jones,"and Armstrong Johnson, Foster",1,1,3492.21,3492.21,67,21,2022-07-15,2022-07-15
Kelly Jones,"and Rivera, Jackson Ewing",1,1,20392.20,20392.23,25,24,2023-04-29,2023-04-29
Kelly Jordan,"Hodges, Williamson and Gibson",1,1,40553.90,40553.85,28,1,2024-04-15,2024-04-15
Kelly Juarez,"Jones, Hays Clark and",1,1,23131.50,23131.46,22,16,2022-03-24,2022-03-24
Kelly Kaiser,Gonzalez-Logan,2,1,28444.80,14222.40,80,25,2019-10-20,2019-10-20
Kelly King,Kim-Higgins,1,1,33870.10,33870.12,81,3,2022-07-05,2022-07-05
Kelly Lane,Ltd Bartlett,1,1,12092.00,12092.04,34,24,2019-10-17,2019-10-17
Kelly Lawrence,"and Rivera Hunt, Hill",1,1,39465.00,39464.97,23,10,2021-03-21,2021-03-21
Kelly Lee MD,Faulkner Group,1,1,36361.40,36361.38,59,25,2019-11-22,2019-11-22
Kelly Leonard,and Sons Young,1,1,43695.90,43695.91,68,28,2021-06-21,2021-06-21
Kelly Leonard,Inc Wilkinson,1,1,27427.20,27427.25,52,17,2019-12-19,2019-12-19
Kelly Lewis,Allen Ltd,1,1,4483.63,4483.63,56,9,2022-03-25,2022-03-25
Kelly Lindsey,Powell-Ponce,1,1,14822.60,14822.64,24,6,2023-04-16,2023-04-16
Kelly Long,"Dudley Macias, and Wood",2,1,59646.30,29823.14,65,27,2023-05-27,2023-05-27
Kelly Long,Inc Vaughn,1,1,12285.20,12285.20,45,23,2020-02-18,2020-02-18
Kelly Lopez,"Miller, Smith Whitaker and",2,1,83841.40,41920.70,34,22,2020-10-26,2020-10-26
Kelly Love,Mayo-Payne,1,1,40212.80,40212.79,49,21,2022-11-11,2022-11-11
Kelly Mann,Fernandez-Crawford,1,1,35107.00,35107.04,58,16,2021-05-27,2021-05-27
Kelly Marks,Inc Anderson,1,1,44496.60,44496.63,58,23,2022-02-10,2022-02-10
Kelly Martin,James-Barrett,1,1,6152.60,6152.60,49,5,2020-03-27,2020-03-27
Kelly Martin,Reynolds-Brown,2,1,92142.40,46071.22,46,28,2023-04-07,2023-04-07
Kelly Martinez,"and Williams Adams, Floyd",1,1,17038.30,17038.31,77,21,2020-04-16,2020-04-16
Kelly Mason,"Castaneda Wells, and Hoffman",1,1,28855.20,28855.15,49,19,2023-05-16,2023-05-16
Kelly Mathews,Donovan PLC,1,1,5316.61,5316.61,45,11,2020-11-05,2020-11-05
Kelly Mccall,Navarro-Johnson,1,1,6652.56,6652.56,80,22,2020-07-31,2020-07-31
Kelly Mcdaniel,LLC Phelps,1,1,31775.80,31775.84,48,19,2021-01-24,2021-01-24
Kelly Mckinney,"Wilson and Harris Williams,",1,1,9322.59,9322.59,77,6,2021-07-09,2021-07-09
Kelly Mckinney,"Wilson Manning, and Flores",1,1,35343.30,35343.31,58,20,2023-01-10,2023-01-10
Kelly Medina,Duncan-Wong,1,1,7294.48,7294.48,19,19,2023-01-15,2023-01-15
Kelly Melton,Williams PLC,1,1,4329.07,4329.07,58,28,2024-01-04,2024-01-04
Kelly Meyers,"and Castro Shannon, Estrada",1,1,23394.50,23394.53,73,5,2021-06-13,2021-06-13
Kelly Miller,Group Mcdonald,1,1,16012.50,16012.45,41,29,2021-01-01,2021-01-01
Kelly Miller,"Morris, and Perez Robinson",1,1,51122.10,51122.13,33,5,2023-10-14,2023-10-14
Kelly Miller,"Richardson and Jones Howell,",1,1,18230.80,18230.85,71,28,2023-03-26,2023-03-26
Kelly Mitchell,Clark-Reyes,1,1,34634.70,34634.66,49,29,2021-08-14,2021-08-14
Kelly Moore,Rodriguez PLC,1,1,9913.84,9913.84,64,16,2023-02-19,2023-02-19
Kelly Morales,Ward-Vega,1,1,5020.54,5020.54,45,18,2019-08-08,2019-08-08
Kelly Moran,Thomas PLC,2,1,14319.70,7159.84,65,18,2021-07-05,2021-07-05
Kelly Munoz,"and Garcia Waters Simmons,",2,1,32994.20,16497.11,54,22,2023-09-13,2023-09-13
Kelly Murphy,Robinson Inc,2,1,3795.78,1897.89,66,16,2021-06-23,2021-06-23
Kelly Myers,"and Warner Hoover Weber,",2,1,81896.50,40948.25,83,20,2022-12-21,2022-12-21
Kelly Neal,Vega-Bradshaw,1,1,14916.90,14916.94,45,26,2023-02-27,2023-02-27
Kelly Nelson,Group Jacobs,1,1,19339.90,19339.94,25,24,2023-08-21,2023-08-21
Kelly Nelson,Harmon-Martinez,1,1,28586.90,28586.93,26,21,2021-07-22,2021-07-22
Kelly Nelson,Stewart Ltd,1,1,5548.82,5548.82,32,8,2021-12-09,2021-12-09
Kelly Nguyen,Robinson-Thomas,1,1,42735.60,42735.64,43,30,2020-12-17,2020-12-17
Kelly Oconnell,Carlson-Roman,1,1,44086.10,44086.06,19,26,2023-02-03,2023-02-03
Kelly Oliver,"and Wright, Jones Sanders",1,1,45637.10,45637.12,66,23,2019-07-16,2019-07-16
Kelly Oliver,Thompson-Rodriguez,1,1,20582.10,20582.13,38,6,2020-04-01,2020-04-01
Kelly Olson,Group Middleton,1,1,19580.90,19580.87,21,12,2020-11-03,2020-11-03
Kelly Oneal,"Lopez Martin and Melendez,",1,1,12388.80,12388.79,43,1,2024-02-27,2024-02-27
Kelly Orozco,Rich-Hopkins,1,1,10412.00,10412.02,74,12,2022-07-19,2022-07-19
Kelly Ortiz,Ltd Brown,1,1,10983.40,10983.43,78,12,2019-11-03,2019-11-03
Kelly Owens,Moon LLC,1,1,3958.41,3958.41,79,2,2021-10-02,2021-10-02
Kelly Owens,Schultz-West,1,1,40899.40,40899.37,47,25,2023-10-23,2023-10-23
Kelly Page,Taylor LLC,1,1,25864.90,25864.93,83,2,2023-02-21,2023-02-21
Kelly Palmer,"White, Alvarez and Fischer",2,1,37775.10,18887.56,83,4,2020-04-30,2020-04-30
Kelly Parrish,"and Curtis, Robles Adkins",1,1,47716.60,47716.65,36,2,2023-08-06,2023-08-06
Kelly Parrish,Group Bauer,1,1,238.80,238.80,71,20,2020-10-12,2020-10-12
Kelly Perez,"and Jones, Tran Schultz",1,1,15464.00,15464.01,58,21,2020-11-15,2020-11-15
Kelly Peters,Long-Porter,1,1,13315.50,13315.47,80,23,2019-07-27,2019-07-27
Kelly Peterson,"and Lawrence, Higgins Anderson",1,1,9506.14,9506.14,23,17,2022-09-22,2022-09-22
Kelly Ramos,Griffin-Flores,1,1,30343.80,30343.81,35,21,2024-01-16,2024-01-16
Kelly Rios,Hodges-Rogers,1,1,41050.10,41050.13,55,15,2020-08-21,2020-08-21
Kelly Rivera,Taylor-Martinez,1,1,47866.50,47866.51,38,14,2021-08-23,2021-08-23
Kelly Roberts,Inc Cross,1,1,9653.53,9653.53,83,17,2023-02-12,2023-02-12
Kelly Robinson,PLC Adams,2,1,50612.20,25306.09,67,13,2021-08-27,2021-08-27
Kelly Rodriguez,Lopez-Carroll,1,1,20426.90,20426.87,40,14,2022-02-10,2022-02-10
Kelly Romero,Ross-Walker,1,1,20171.10,20171.10,30,29,2021-07-09,2021-07-09
Kelly Russell,Grimes-Smith,1,1,23005.40,23005.36,81,9,2023-10-24,2023-10-24
Kelly Sanchez,Hood-Martin,1,1,14497.30,14497.32,58,8,2022-03-06,2022-03-06
Kelly Sanders,"Mccoy and Holmes Hardy,",1,1,43761.10,43761.08,36,22,2020-06-20,2020-06-20
Kelly Santiago,LLC Alvarez,1,1,29648.60,29648.63,27,6,2022-10-24,2022-10-24
Kelly Santos,Doyle-West,1,1,4145.42,4145.42,77,25,2022-05-02,2022-05-02
Kelly Sawyer,"Steele Olson Rodriguez, and",2,1,6884.86,3442.43,76,12,2020-10-01,2020-10-01
Kelly Shelton,"Carter Morrison Mcdonald, and",2,1,1855.96,927.98,43,8,2019-07-07,2019-07-07
Kelly Simmons,"Figueroa Taylor, and Velasquez",1,1,5557.09,5557.09,29,28,2023-03-29,2023-03-29
Kelly Simmons,Sons Rogers and,1,1,31326.20,31326.19,30,12,2020-06-08,2020-06-08
Kelly Simon,"Cruz Ward Gallegos, and",1,1,34600.20,34600.18,74,20,2022-03-11,2022-03-11
Kelly Smith,Coleman-James,1,1,29300.20,29300.25,23,6,2021-11-05,2021-11-05
Kelly Smith,Norris-Matthews,2,1,51423.40,25711.70,54,7,2022-04-25,2022-04-25
Kelly Smith,PLC Casey,1,1,48935.00,48935.00,51,23,2022-09-10,2022-09-10
Kelly Smith,PLC Lewis,2,1,33908.00,16954.01,37,7,2022-09-05,2022-09-05
Kelly Smith,"Santos, and Douglas Warner",1,1,11814.00,11813.99,49,25,2024-01-04,2024-01-04
Kelly Smith,Smith-Whitney,1,1,7041.86,7041.86,82,13,2024-03-23,2024-03-23
Kelly Smith,Williams-Walton,1,1,46823.60,46823.64,37,7,2023-09-01,2023-09-01
Kelly Snyder,"Smith Anderson and Wilson,",1,1,50236.80,50236.76,23,9,2019-06-03,2019-06-03
Kelly Solomon,"and Spears, Mathis Clark",1,1,16120.90,16120.91,68,1,2021-09-21,2021-09-21
Kelly Solomon,Sims-Garrison,1,1,30092.30,30092.28,68,28,2022-07-29,2022-07-29
Kelly Spencer,Sons and Davis,2,1,30830.80,15415.39,40,21,2020-03-29,2020-03-29
Kelly Stevens,Smith-Holmes,1,1,34008.40,34008.44,28,21,2023-01-22,2023-01-22
Kelly Sullivan,Patrick-Vaughn,1,1,36487.90,36487.95,58,1,2019-06-14,2019-06-14
Kelly Tapia,and Meadows Sons,2,1,12125.00,6062.50,42,29,2023-01-18,2023-01-18
Kelly Taylor,Everett-Ford,1,1,37592.70,37592.72,65,8,2023-08-21,2023-08-21
Kelly Taylor,LLC Hernandez,1,1,26478.40,26478.40,53,30,2020-03-04,2020-03-04
Kelly Terrell,Elliott LLC,1,1,24634.40,24634.41,38,29,2022-08-05,2022-08-05
Kelly Thompson,Hall-Roberts,1,1,21770.10,21770.10,26,12,2021-02-08,2021-02-08
Kelly Thompson,Hunter-Hughes,1,1,,,49,21,2023-02-16,2023-02-16
Kelly Townsend,Dean-Blair,1,1,45571.00,45570.96,85,13,2021-03-29,2021-03-29
Kelly Tucker,Bolton-Bell,1,1,39379.10,39379.12,48,9,2020-10-22,2020-10-22
Kelly Tucker,Brown Ltd,1,1,5603.23,5603.23,77,19,2021-04-20,2021-04-20
Kelly Turner,"Green Smith, Castillo and",1,1,22359.90,22359.90,58,8,2019-11-23,2019-11-23
Kelly Vang,Anderson-Sanchez,1,1,13840.00,13840.05,63,18,2019-08-06,2019-08-06
Kelly Velasquez,Parsons-Villa,1,1,38803.30,38803.34,25,13,2024-03-19,2024-03-19
Kelly Walker,Manning-Jones,1,1,30884.20,30884.16,31,19,2023-02-16,2023-02-16
Kelly Walls,Bishop Inc,1,1,3746.49,3746.49,35,24,2020-01-29,2020-01-29
Kelly Walsh,"and Garcia, Gutierrez Stewart",1,1,9919.75,9919.75,84,29,2020-04-23,2020-04-23
Kelly Warren,"and Conner, Zimmerman Collins",1,1,2334.66,2334.66,31,3,2021-02-23,2021-02-23
Kelly Warren,PLC Johnson,1,1,48723.70,48723.71,51,24,2023-02-06,2023-02-06
Kelly Waters,Sons and Foley,1,1,4181.06,4181.06,67,10,2021-08-25,2021-08-25
Kelly Watson,"Vincent, Walker Parsons and",1,1,32956.20,32956.18,40,28,2024-01-29,2024-01-29
Kelly Weiss,"and Trujillo, Velazquez Sandoval",1,1,20969.90,20969.88,30,12,2019-09-17,2019-09-17
Kelly White,Brewer PLC,1,1,22190.30,22190.34,25,29,2021-02-19,2021-02-19
Kelly White,Group Barrett,1,1,32099.10,32099.13,59,30,2022-09-06,2022-09-06
Kelly White,Pena LLC,1,1,16625.30,16625.28,76,6,2021-04-10,2021-04-10
Kelly Williams,Roach-Bartlett,1,1,26708.50,26708.53,65,12,2021-12-25,2021-12-25
Kelly Willis,"Day Johnson Pineda, and",2,1,27870.40,13935.18,66,3,2022-09-20,2022-09-20
Kelly Wilson,Farmer-Rogers,2,1,31292.90,15646.43,80,12,2020-05-21,2020-05-21
Kelly Wilson,Summers-Hernandez,2,1,69817.80,34908.92,65,26,2020-04-03,2020-04-03
Kelly Wolf,Tucker-Robinson,1,1,39745.10,39745.11,58,29,2024-03-22,2024-03-22
Kelly Wright,Armstrong-Bernard,1,1,11207.30,11207.28,33,30,2024-02-22,2024-02-22
Kelly Wright,Banks-Shepard,1,1,28458.90,28458.94,48,26,2022-08-18,2022-08-18
Kelly Wright,Walker-Liu,2,1,90632.70,45316.36,26,3,2024-02-19,2024-02-19
Kelly Young,Silva Group,1,1,10740.30,10740.35,79,29,2019-05-15,2019-05-15
Kelsey Armstrong,"Fuller Sloan Barrera, and",1,1,3813.26,3813.26,54,8,2024-03-12,2024-03-12
Kelsey Baker,"Allen, Cantu Orozco and",1,1,39835.70,39835.73,30,6,2020-04-03,2020-04-03
Kelsey Barrera,"Green and Ray Allen,",1,1,2368.11,2368.11,42,21,2022-01-30,2022-01-30
Kelsey Caldwell,Sons and Vargas,1,1,3051.43,3051.43,66,14,2022-07-22,2022-07-22
Kelsey Carroll,"Moran Stewart Lopez, and",1,1,893.40,893.40,64,9,2020-06-23,2020-06-23
Kelsey Chen,"Koch Moran, and Adams",1,1,28451.10,28451.10,42,20,2022-11-18,2022-11-18
Kelsey Cook,and Sons Henry,1,1,24184.60,24184.57,59,29,2019-06-28,2019-06-28
Kelsey Cross,Swanson-Dorsey,1,1,22622.40,22622.45,49,8,2023-02-07,2023-02-07
Kelsey Curry,Group Simmons,1,1,25029.50,25029.52,83,22,2021-03-22,2021-03-22
Kelsey Davidson,"Norris Nielsen, Farley and",1,1,11293.60,11293.64,75,10,2022-03-16,2022-03-16
Kelsey Davis,Osborn-Park,2,1,79048.20,39524.11,65,22,2024-04-23,2024-04-23
Kelsey Dunn,Sons Acosta and,1,1,41793.50,41793.48,53,21,2020-10-08,2020-10-08
Kelsey Edwards,"French Harris English, and",1,1,14461.20,14461.25,72,29,2022-12-03,2022-12-03
Kelsey Escobar,Schneider-Flores,1,1,17488.70,17488.65,18,13,2022-08-21,2022-08-21
Kelsey Farmer,"Le Meyers, Smith and",1,1,36318.00,36317.97,58,13,2020-08-12,2020-08-12
Kelsey Farrell,"and Davis Reyes Khan,",1,1,42321.20,42321.21,44,29,2020-12-30,2020-12-30
Kelsey Fischer,"Warren, Lee and Duarte",1,1,45252.10,45252.08,51,29,2020-02-13,2020-02-13
Kelsey Fitzgerald,Benson Ltd,1,1,4669.03,4669.03,40,10,2019-10-28,2019-10-28
Kelsey Friedman,"Collins and Kramer Mills,",1,1,43266.10,43266.14,57,25,2020-12-01,2020-12-01
Kelsey Gray,Ayers-Hess,2,1,38097.60,19048.81,73,3,2019-11-15,2019-11-15
Kelsey Hansen,"Morgan Bonilla Russell, and",1,1,23143.50,23143.51,66,29,2021-04-22,2021-04-22
Kelsey Harris,Haney-Boyd,1,1,16303.00,16303.02,85,6,2021-01-21,2021-01-21
Kelsey Heath,Watkins Inc,1,1,42621.90,42621.85,19,15,2023-06-20,2023-06-20
Kelsey Howell,"and Bennett, Davis Rice",2,1,40298.30,20149.16,53,19,2022-02-12,2022-02-12
Kelsey Howell,Group Miller,2,1,90155.70,45077.86,74,23,2020-12-15,2020-12-15
Kelsey Jacobson,"Adams and Campos Cooper,",2,1,12344.10,6172.03,33,21,2019-07-08,2019-07-08
Kelsey Jones,West-Lopez,1,1,27629.70,27629.69,33,23,2022-02-10,2022-02-10
Kelsey Logan,"Abbott, Peters and Hoffman",2,1,37684.80,18842.40,63,13,2022-01-05,2022-01-05
Kelsey Mcguire,Sims-Wright,1,1,47210.60,47210.60,84,26,2021-02-15,2021-02-15
Kelsey Miller,Blackburn LLC,1,1,17802.50,17802.51,20,7,2019-06-06,2019-06-06
Kelsey Miller,Group Hunt,1,1,24421.00,24420.96,83,7,2023-02-05,2023-02-05
Kelsey Moore,"and Rivas, Guerrero Wright",1,1,34128.20,34128.25,35,23,2019-12-04,2019-12-04
Kelsey Moore,Nichols PLC,2,1,35798.70,17899.35,44,21,2023-05-01,2023-05-01
Kelsey Nichols,Kramer-Santos,1,1,14489.90,14489.94,59,27,2023-05-16,2023-05-16
Kelsey Owen,Browning and Sons,1,1,3113.37,3113.37,76,22,2020-01-04,2020-01-04
Kelsey Owen,"Chavez Wood Vargas, and",1,1,11856.10,11856.14,31,8,2021-03-14,2021-03-14
Kelsey Peters,"and Parker Manning, Webb",1,1,23443.80,23443.75,42,6,2023-03-12,2023-03-12
Kelsey Pitts,Brown-Aguilar,1,1,44638.60,44638.55,80,12,2023-07-23,2023-07-23
Kelsey Powell,Group Lowe,2,1,19339.60,9669.79,42,4,2023-10-27,2023-10-27
Kelsey Richardson,Davidson-Martin,1,1,37998.10,37998.12,51,11,2021-09-09,2021-09-09
Kelsey Riddle,Ltd Robertson,1,1,44912.70,44912.71,39,27,2020-07-12,2020-07-12
Kelsey Salas,"Williams Smith Perez, and",1,1,1314.84,1314.84,32,20,2022-06-09,2022-06-09
Kelsey Schneider,Group Mack,1,1,13444.80,13444.80,36,27,2019-08-18,2019-08-18
